rank,struct_id,drug_name,smiles,score,model_probability,known_target_similarity,evidence_target_key,evidence_target,evidence_organism,confidence,approval_fda,approval_ema,approval_pmda,approval_regions,approval_region_count,approval_tier,boundary
1,2859,zanamivir,CC(=O)N[C@@H]1[C@@H](NC(N)=N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,0.957985,0.579854,1.0,P03468,Neuraminidase,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),high_screening_prior,True,True,False,FDA;EMA,2,multi_region,"Computational target-drug matching only. This ranking does not prove biological activity, potency, efficacy, toxicity, safety, dosing, clinical usefulness, or suitability for patient care."
2,2001,oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0.951778,0.517778,1.0,P03468,Neuraminidase,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),high_screening_prior,True,False,False,FDA,1,fda,"Computational target-drug matching only. This ranking does not prove biological activity, potency, efficacy, toxicity, safety, dosing, clinical usefulness, or suitability for patient care."
3,4823,peramivir,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O,0.950574,0.505741,1.0,P03468,Neuraminidase,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),high_screening_prior,True,True,False,FDA;EMA,2,multi_region,"Computational target-drug matching only. This ranking does not prove biological activity, potency, efficacy, toxicity, safety, dosing, clinical usefulness, or suitability for patient care."
4,4822,laninamivir octanoate hydrate,CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@@H]1OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O,0.826637,0.51254,0.95,B4URF0,Neuraminidase,Influenza A virus (A/WSN/1933(H1N1)),high_screening_prior,False,False,True,PMDA,1,pmda,"Computational target-drug matching only. This ranking does not prove biological activity, potency, efficacy, toxicity, safety, dosing, clinical usefulness, or suitability for patient care."
5,3535,rutoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.823603,0.451852,0.95,B4URF0,Neuraminidase,Influenza A virus (A/WSN/1933(H1N1)),high_screening_prior,False,False,False,,0,unknown,"Computational target-drug matching only. This ranking does not prove biological activity, potency, efficacy, toxicity, safety, dosing, clinical usefulness, or suitability for patient care."
